city_name,city_number,country,lat,lon,temp,humidity,wind,clouds
avarua,4035715,CK,-21.21,-159.78,28.0,88,3.1,1
butaritari,2110227,KI,3.07,172.79,28.46,80,9.01,51
mataura,6201424,NZ,-46.19,168.86,12.24,53,0.74,0
barentsburg,1000000, ,0.0,0.0,0.0,0,0.0,0
constitucion,3893726,CL,-35.33,-72.42,11.55,65,2.97,0
illoqqortoormiut,1000000, ,0.0,0.0,0.0,0,0.0,0
jeremie,3723593,HT,18.65,-74.12,26.35,77,0.92,5
columbus,4509177,US,39.96,-83.0,8.09,43,1.5,20
okato,2185763,NZ,-39.2,173.88,16.67,65,3.58,97
bluff,2206939,NZ,-46.6,168.33,10.84,57,1.77,2
rikitea,4030556,PF,-23.12,-134.97,24.36,71,3.45,0
puerto ayora,3652764,EC,-0.74,-90.35,24.44,94,0.89,82
kodiak,5866583,US,57.79,-152.41,11.0,62,2.6,75
sitka,5557293,US,57.05,-135.33,14.0,67,2.6,1
betlitsa,576626,RU,54.01,33.96,1.25,86,5.07,26
port alfred,964432,ZA,-33.59,26.89,16.11,96,0.89,93
busselton,2075265,AU,-33.65,115.33,17.97,42,3.14,99
cabo san lucas,3985710,MX,22.89,-109.91,24.64,47,2.1,5
ushuaia,3833367,AR,-54.8,-68.3,5.0,65,16.5,40
nikolskoye,546105,RU,59.7,30.79,0.22,86,3.0,38
pisco,3932145,PE,-13.7,-76.22,19.0,82,4.6,83
norsup,2135517,VU,-16.07,167.38,27.0,65,4.1,75
taolanaro,1000000, ,0.0,0.0,0.0,0,0.0,0
grand gaube,934479,MU,-20.01,57.66,20.56,74,0.89,14
provideniya,4031574,RU,64.38,-173.3,1.0,78,2.0,75
najran,103630,SA,17.49,44.13,25.0,31,1.86,0
tarudant,1000000, ,0.0,0.0,0.0,0,0.0,0
bonthe,2409914,SL,7.53,-12.51,26.49,85,1.84,100
vaini,4032243,TO,-21.2,-175.2,26.0,78,2.6,75
hasaki,2112802,JP,35.73,140.83,26.66,50,3.1,20
charters towers,2171722,AU,-20.1,146.27,26.03,41,4.82,0
lagoa,3372964,PT,39.05,-27.98,14.03,67,13.75,43
smithers,6149996,CA,54.78,-127.17,22.0,12,1.5,5
hobart,2163355,AU,-42.88,147.33,10.27,57,6.7,40
leningradskiy,2123814,RU,69.38,178.42,-0.16,98,4.01,99
santa isabel,3450188,BR,-23.32,-46.22,14.0,87,0.5,44
jamestown,5122534,US,42.1,-79.24,3.25,60,3.1,1
kalmunai,1242110,LK,7.42,81.82,27.91,78,0.6,95
iwanai,2129868,JP,42.97,140.51,14.72,65,4.73,38
lebu,3883457,CL,-37.62,-73.65,10.82,82,3.3,49
ribeira grande,3372707,PT,38.52,-28.7,14.11,69,11.67,63
oskarshamn,2686162,SE,57.26,16.45,2.06,86,4.1,0
geresk,1000000, ,0.0,0.0,0.0,0,0.0,0
mount gambier,2156643,AU,-37.83,140.77,14.0,62,6.2,75
cape town,3369157,ZA,-33.93,18.42,13.09,82,0.5,75
yabelo,326036,ET,4.88,38.08,13.55,100,1.62,54
iqaluit,5983720,CA,63.75,-68.51,-3.17,86,8.7,90
meulaboh,1214488,ID,4.14,96.13,27.57,81,2.07,100
nanortalik,3421765,GL,60.14,-45.24,4.95,79,4.41,100
finschhafen,2097418,PG,-6.6,147.87,27.07,80,2.96,100
rabo de peixe,3372745,PT,37.8,-25.58,13.0,82,3.6,40
kadirli,310892,TR,37.37,36.1,16.67,91,1.79,7
east london,1006984,ZA,-33.02,27.91,18.75,70,9.71,100
asfi,2537881,MA,32.3,-9.24,17.73,83,4.54,29
hermanus,3366880,ZA,-34.42,19.23,14.44,75,0.45,67
tagab,1123424,AF,34.85,69.65,15.0,87,1.5,40
hokitika,2206894,NZ,-42.72,170.97,14.33,77,1.18,99
cairns,2172797,AU,-16.92,145.77,25.68,65,4.6,40
maningrida,2067089,AU,-12.07,134.27,31.32,55,4.5,52
albany,5106841,US,42.6,-73.97,3.3,59,1.34,71
atuona,4020109,PF,-9.8,-139.03,26.95,73,8.0,19
tasiilaq,3424607,GL,65.61,-37.64,1.0,95,4.6,0
faanui,4034551,PF,-16.48,-151.75,27.51,76,5.63,98
manoharpur,1263649,IN,27.3,75.95,32.91,24,3.98,78
tanabe,1850708,JP,33.73,135.37,23.0,43,7.7,20
marawi,1701054,PH,8.0,124.29,29.44,75,2.68,72
san ramon,5392593,US,37.78,-121.98,14.58,33,4.6,75
pueblo,5435464,US,38.25,-104.61,13.06,58,6.7,1
lavrentiya,4031637,RU,65.58,-171.0,0.62,95,1.41,98
gurupa,3398480,BR,-1.41,-51.64,23.64,95,1.45,70
tiksi,2015306,RU,71.69,128.87,-0.38,98,2.79,100
yellowknife,6185377,CA,62.46,-114.35,-1.0,63,9.3,20
longyearbyen,2729907,SJ,78.22,15.64,-3.0,86,7.7,90
caravelas,3466980,BR,-17.71,-39.25,22.6,85,2.01,8
torbay,6167817,CA,47.67,-52.73,6.41,100,5.1,90
khatanga,2022572,RU,71.97,102.5,-6.2,96,3.36,85
manakara,1061605,MG,-22.13,48.02,21.5,91,3.67,83
cidreira,3466165,BR,-30.18,-50.21,19.15,93,4.94,100
kodinar,1266397,IN,20.79,70.7,29.56,66,4.58,0
sentyabrskiy,1000000, ,0.0,0.0,0.0,0,0.0,0
hilo,5855927,US,19.73,-155.09,25.36,61,5.7,75
sayyan,70979,YE,15.17,44.32,16.59,41,3.57,0
cherskiy,2126199,RU,68.75,161.3,7.59,55,1.99,0
saint george,5546220,US,37.1,-113.58,25.24,12,11.3,1
punta arenas,3874787,CL,-53.15,-70.92,5.0,65,4.6,86
luderitz,3355672,NA,-26.65,15.16,17.32,59,7.13,77
chokurdakh,2126123,RU,70.63,147.92,0.57,100,2.48,100
ilulissat,3423146,GL,69.22,-51.1,2.0,74,2.6,100
belushya guba,1000000, ,0.0,0.0,0.0,0,0.0,0
chuy,3443061,UY,-33.7,-53.46,13.1,86,3.04,23
cordele,4189423,US,31.96,-83.78,15.88,72,2.71,1
norman wells,6089245,CA,65.28,-126.83,5.0,65,6.2,75
airai,1651810,TL,-8.93,125.41,22.31,70,2.27,99
richards bay,962367,ZA,-28.78,32.04,18.11,90,3.29,19
souillac,933995,MU,-20.52,57.52,23.0,69,4.1,20
haines junction,5969025,CA,60.75,-137.51,20.03,27,1.45,73
havelock,4470244,US,34.88,-76.9,11.84,62,1.5,1
melfi,3173615,IT,41.0,15.65,14.0,87,2.1,40
gorontalo,1643837,ID,0.54,123.06,31.53,64,2.62,12
thompson,6165406,CA,55.74,-97.86,9.0,24,3.6,20
vershino-darasunskiy,2013442,RU,52.35,115.52,16.47,32,5.07,67
grand river south east,1000000, ,0.0,0.0,0.0,0,0.0,0
zhangye,1785036,CN,38.93,100.45,20.4,21,2.88,99
tuktoyaktuk,6170031,CA,69.45,-133.04,-7.0,85,8.2,40
cananea,4015700,MX,30.95,-110.3,21.18,24,0.45,0
yaan,2338660,NG,7.38,8.57,25.17,88,3.53,48
san felipe,3628423,VE,10.34,-68.74,22.63,90,1.39,68
ixtapa,4004293,MX,20.7,-105.2,25.0,83,2.6,5
manta,3654410,EC,-0.95,-80.73,27.0,74,3.6,75
wairoa,2206808,NZ,-39.03,177.37,15.49,69,1.56,70
westport,4845585,US,41.14,-73.36,9.07,47,4.65,65
rawannawi,1000000, ,0.0,0.0,0.0,0,0.0,0
syamzha,485351,RU,60.02,41.06,7.72,97,2.03,100
qasigiannguit,3420768,GL,68.82,-51.19,2.0,74,2.6,95
noumea,2139521,NC,-22.28,166.46,25.38,54,4.6,75
ilhabela,3461425,BR,-23.78,-45.36,20.87,69,1.57,20
praia da vitoria,3372760,PT,38.73,-27.07,13.0,87,12.69,75
carnarvon,2074865,AU,-24.87,113.63,28.04,27,5.88,39
bredasdorp,1015776,ZA,-34.53,20.04,14.0,76,4.6,42
gorno-chuyskiy,1000000, ,0.0,0.0,0.0,0,0.0,0
barrow,5880054,US,71.29,-156.79,-4.0,79,14.9,1
pontes e lacerda,3453060,BR,-15.23,-59.34,22.09,91,0.99,6
batagay-alyta,2027042,RU,67.8,130.41,-2.07,97,1.73,100
riyadh,108410,SA,24.69,46.72,24.0,25,2.1,3
kloulklubed,7671223,PW,7.04,134.26,31.0,70,2.6,75
bethel,5282297,US,41.37,-73.41,8.06,29,3.1,90
nemuro,2128975,JP,43.32,145.57,8.0,93,4.1,75
pacific grove,5380437,US,36.62,-121.92,14.93,85,0.89,0
port hedland,2063042,AU,-20.32,118.57,30.0,13,9.8,0
flinders,6255012,AU,-34.58,150.86,19.44,51,4.02,100
iranshahr,1160939,IR,27.2,60.68,27.0,18,2.04,20
paamiut,3421193,GL,61.99,-49.67,5.11,87,2.61,100
victoria,1819729,HK,22.29,114.16,30.17,66,5.7,20
awbari,2219235,LY,26.59,12.78,26.6,15,3.94,0
bairiki,7601762,KI,1.33,172.98,30.0,74,6.2,40
mar del plata,3430863,AR,-38.0,-57.56,10.24,87,4.1,85
fare,4034496,PF,-16.7,-151.02,28.01,75,6.16,99
mitsamiouli,921786,KM,-11.38,43.28,27.07,73,4.01,100
mnogovershinnyy,2019935,RU,53.94,139.92,10.29,68,2.56,100
pimentel,3693584,PE,-6.84,-79.93,20.46,84,6.35,10
russell,4047434,US,32.35,-85.2,15.69,77,2.12,1
vaitupu,1000000, ,0.0,0.0,0.0,0,0.0,0
kuala terengganu,1734705,MY,5.33,103.14,30.56,79,2.24,98
kieta,2094027,PG,-6.22,155.63,27.63,82,2.74,100
rongcheng,1797117,CN,30.63,117.85,24.44,61,2.83,38
aginskoye,2028078,RU,51.1,114.53,18.55,31,7.5,54
saleaula,1000000, ,0.0,0.0,0.0,0,0.0,0
semey,1519422,KZ,50.41,80.23,21.0,43,1.0,0
mahebourg,934322,MU,-20.41,57.7,23.0,69,4.1,20
bengkulu,1649150,ID,-3.8,102.27,30.39,61,1.56,39
rio gallegos,3838859,AR,-51.62,-69.22,2.0,80,3.6,71
oranjemund,3354071,NA,-28.55,16.43,13.42,92,3.27,42
cockburn town,3576994,TC,21.46,-71.14,27.09,80,7.81,0
umm lajj,100926,SA,25.02,37.27,26.26,39,3.35,36
katsuura,2112309,JP,35.13,140.3,27.11,47,5.1,20
qaanaaq,3831208,GL,77.48,-69.36,-1.49,86,2.64,100
belaya gora,2126785,RU,68.53,146.42,4.4,91,2.76,99
san quintin,3984997,MX,30.48,-115.95,18.0,79,7.09,0
silver city,5491487,US,32.77,-108.28,20.02,22,3.6,1
upernavik,3418910,GL,72.79,-56.15,2.13,82,4.61,97
saint-philippe,935215,RE,-21.36,55.77,16.51,60,4.1,21
tazovskiy,1489853,RU,67.47,78.7,0.82,99,5.81,99
srednekolymsk,2121025,RU,67.45,153.68,9.6,57,2.31,0
jabiru,1000000, ,0.0,0.0,0.0,0,0.0,0
half moon bay,5354943,US,37.46,-122.43,14.25,87,1.5,1
kamenskoye,1000000, ,0.0,0.0,0.0,0,0.0,0
port elizabeth,964420,ZA,-33.92,25.57,16.0,87,4.1,40
magaria,2441482,NE,13.0,8.91,23.97,18,0.88,0
vao,2137773,NC,-22.67,167.48,21.71,72,8.8,37
labuan,1733782,MY,5.28,115.24,28.94,83,1.0,75
balabac,1728675,PH,7.99,117.06,31.51,62,1.06,75
belmonte,3470137,BR,-15.86,-38.88,22.0,83,1.0,75
keti bandar,1174451,PK,24.14,67.45,28.97,73,6.29,58
antigonish,5886182,CA,45.62,-62.0,3.03,91,1.79,98
lloydminster,6058024,CA,53.28,-110.0,8.0,31,3.1,40
mackenzie,6063191,CA,55.3,-123.17,18.0,16,2.1,1
booue,2401495,GA,-0.09,11.94,23.07,96,0.48,100
georgetown,1735106,MY,5.41,100.34,30.0,79,2.6,20
fortuna,5563839,US,40.6,-124.16,13.76,76,2.1,90
bucerias,4016734,MX,20.75,-105.33,25.0,83,2.6,5
chara,2025630,RU,56.91,118.26,4.88,65,3.97,75
porto santo,8010683,PT,33.07,-16.34,18.0,72,7.2,75
angra,1000000, ,0.0,0.0,0.0,0,0.0,0
binzhou,1816336,CN,37.37,118.02,27.22,35,2.68,0
olafsvik,3414079,IS,64.89,-23.71,5.03,84,4.04,100
nador,2541479,MA,35.17,-2.93,15.64,72,1.5,15
soyo,2236967,AO,-6.13,12.37,26.08,85,2.23,88
bilibino,2126682,RU,68.05,166.44,4.01,71,0.84,0
barra patuca,3614835,HN,15.8,-84.28,26.4,85,3.11,44
mys shmidta,1000000, ,0.0,0.0,0.0,0,0.0,0
nizhneyansk,1000000, ,0.0,0.0,0.0,0,0.0,0
arraial do cabo,3471451,BR,-22.97,-42.03,22.75,78,10.71,97
abay,1526970,KZ,49.63,72.85,18.0,63,3.0,0
karakose,1000000, ,0.0,0.0,0.0,0,0.0,0
quatre cocos,1106643,MU,-20.21,57.76,21.72,69,4.1,20
lata,2738381,PT,40.16,-8.33,10.96,91,2.24,32
kawana waters,1000000, ,0.0,0.0,0.0,0,0.0,0
walvis bay,3359638,NA,-22.96,14.51,13.0,82,2.1,10
sisimiut,3419842,GL,66.94,-53.67,4.55,89,1.5,100
tevaitoa,4033375,PF,-16.78,-151.5,27.91,74,5.34,100
kapaa,5848280,US,22.08,-159.32,25.0,73,6.2,20
kaitangata,2208248,NZ,-46.28,169.85,12.22,63,1.34,0
lakes entrance,2160735,AU,-37.88,147.98,11.67,83,0.45,99
asau,686090,RO,46.43,26.4,5.0,75,0.05,76
oulainen,643497,FI,64.27,24.8,-1.67,75,2.24,0
deputatskiy,2028164,RU,69.3,139.9,-2.04,99,1.92,100
new norfolk,2155415,AU,-42.78,147.06,8.93,79,1.34,70
trinidad,3902377,BO,-14.83,-64.9,23.48,92,0.79,87
solnechnyy,2016307,RU,50.72,136.63,10.55,76,1.21,95
aloleng,1731298,PH,16.13,119.78,31.98,61,2.69,46
maromitsa,529051,RU,59.87,48.01,12.97,79,4.17,6
jurado,3680090,CO,7.11,-77.76,25.62,87,1.58,100
simplicio mendes,3387620,BR,-7.85,-41.91,22.36,83,2.11,6
price,5545269,US,39.6,-110.81,20.0,18,8.2,1
alofi,4036284,NU,-19.06,-169.92,28.0,83,2.6,75
esperance,2071860,AU,-33.87,121.9,15.0,72,8.7,77
balkanabat,161616,TM,39.51,54.37,16.58,52,0.17,0
zhigansk,2012530,RU,66.77,123.37,-0.03,96,5.5,95
darlowo,3100637,PL,54.42,16.41,5.56,96,5.66,100
geraldton,2070998,AU,-28.77,114.6,24.0,22,5.93,100
north bend,5742974,US,43.41,-124.22,11.81,93,4.6,90
sao joao da barra,3448903,BR,-21.64,-41.05,21.89,86,5.9,58
fairbanks,5861897,US,64.84,-147.72,12.56,62,2.1,90
kutum,371745,SD,14.2,24.67,23.69,16,4.57,83
clyde river,5924351,CA,70.47,-68.59,-7.0,92,7.7,90
zyryanka,2119283,RU,65.75,150.85,9.26,64,5.48,37
porto belo,3452900,BR,-27.16,-48.55,20.29,88,1.5,100
birjand,140463,IR,32.87,59.22,13.0,47,2.1,50
labuhan,8079926,ID,-6.88,112.21,29.25,75,3.59,14
morag,3091462,PL,53.92,19.93,5.0,75,4.47,100
roald,3141667,NO,62.58,6.13,0.68,73,2.6,97
groningen,2755249,NL,53.25,6.75,4.43,93,3.1,20
talnakh,1490256,RU,69.49,88.4,2.0,64,3.0,0
cabatuan,1721720,PH,10.88,122.49,33.45,53,3.22,31
hithadhoo,1282256,MV,-0.6,73.08,29.18,75,4.35,100
rosetta,350203,EG,31.4,30.42,18.0,82,2.53,64
college,5859699,US,64.86,-147.8,12.65,58,2.1,75
sioux lookout,6148373,CA,50.1,-91.92,4.0,32,1.0,20
castro,3466704,BR,-24.79,-50.01,14.47,94,2.12,77
santa cruz de tenerife,2511174,ES,28.47,-16.25,15.86,87,8.2,75
ulaanbaatar,2028462,MN,47.91,106.88,16.0,25,2.0,40
enid,4535961,US,36.4,-97.88,10.62,93,2.6,90
kijang,1842966,KR,35.24,129.21,21.0,26,3.6,0
lazaro cardenas,4026082,MX,17.96,-102.2,24.39,83,1.34,0
dikson,1507390,RU,73.51,80.55,-3.47,94,3.5,18
bijie,1816373,CN,27.31,105.29,20.08,70,2.74,100
takoradi,2294915,GH,4.88,-1.76,26.45,86,2.32,36
thunder bay,6166142,CA,48.4,-89.32,3.15,47,1.0,5
beloha,1067565,MG,-25.17,45.05,17.15,86,1.84,0
prieska,964090,ZA,-29.66,22.75,14.47,37,3.91,59
eydhafushi,1337606,MV,5.1,73.07,29.35,76,3.4,99
adrar,2381972,MR,20.5,-10.07,26.34,18,4.84,0
port blair,1259385,IN,11.67,92.75,30.07,70,5.57,10
nouadhibou,2377457,MR,20.93,-17.03,18.29,84,10.67,0
tual,1623197,ID,-5.67,132.75,28.78,77,4.1,20
maniitsoq,3421982,GL,65.42,-52.9,4.09,94,4.28,100
lorengau,2092164,PG,-2.02,147.27,28.81,75,4.63,87
umm kaddadah,364933,SD,13.6,26.69,27.83,13,6.51,75
ponta do sol,2264557,PT,32.67,-17.1,15.19,67,1.0,20
severo-kurilsk,2121385,RU,50.68,156.12,6.94,64,3.98,66
port antonio,3489005,JM,18.18,-76.46,26.6,70,1.0,20
elko,5703673,US,41.0,-115.5,14.63,31,5.1,75
calvinia,3369174,ZA,-31.47,19.78,8.58,93,1.93,9
zonhoven,2783189,BE,50.99,5.37,4.09,93,0.5,51
caranavi,3922037,BO,-15.82,-67.55,18.33,93,0.62,72
saint anthony,5044290,US,45.02,-93.22,9.84,37,2.66,1
zonguldak,737021,TR,41.25,31.83,13.09,73,2.5,0
borlange,1000000, ,0.0,0.0,0.0,0,0.0,0
hambantota,1244926,LK,6.12,81.12,28.18,71,2.42,100
nome,5870133,US,64.5,-165.41,5.51,87,8.2,90
altamira,3407882,BR,-3.2,-52.21,23.49,91,0.55,84
eirunepe,3664321,BR,-6.66,-69.87,22.5,97,0.63,100
saint-leu,6690297,RE,-21.15,55.28,16.33,60,4.1,25
mattru,2409215,SL,7.62,-11.83,24.78,94,0.81,100
rengo,3873441,CL,-34.42,-70.87,5.0,100,2.1,2
say,2439812,NE,13.1,2.37,33.0,26,3.6,72
lasa,3175096,IT,46.62,10.7,8.0,100,4.1,75
alta floresta,6316343,BR,-9.88,-56.09,22.41,93,1.12,1
lewiston,4969398,US,44.1,-70.21,3.48,30,2.6,1
hobyo,57000,SO,5.35,48.53,28.71,72,3.93,100
ahipara,2194098,NZ,-35.17,173.17,18.67,65,5.06,100
kununurra,2068110,AU,-15.77,128.73,29.0,15,5.7,33
tabiauea,1000000, ,0.0,0.0,0.0,0,0.0,0
ena,1855753,JP,35.45,137.41,26.14,33,6.2,40
pevek,2122090,RU,69.7,170.31,0.93,91,2.34,71
tagdangua,1000000, ,0.0,0.0,0.0,0,0.0,0
brownsville,4676740,US,25.9,-97.5,26.41,69,5.7,75
baglung,1283711,NP,28.27,83.59,25.32,42,0.83,32
isangel,2136825,VU,-19.55,169.27,27.0,54,2.1,75
yantal,2055868,RU,56.85,105.25,7.08,52,5.35,92
epe,2343252,NG,6.58,3.98,26.75,86,2.47,100
luau,876177,AO,-10.71,22.22,18.54,66,2.23,87
rio claro,3451234,BR,-22.41,-47.56,12.0,87,2.46,13
bathsheba,3374083,BB,13.22,-59.52,26.24,74,8.48,0
oktyabrskiy,515879,RU,54.48,53.47,11.74,82,3.55,92
komsomolskiy,1513491,UZ,40.43,71.72,19.0,63,2.1,100
aklavik,5882953,CA,68.22,-135.01,-3.0,73,4.1,75
san cristobal,3628473,VE,7.77,-72.22,19.86,91,0.92,90
attawapiskat,1000000, ,0.0,0.0,0.0,0,0.0,0
shingu,1847947,JP,33.73,135.98,23.0,43,7.7,20
itarema,3393692,BR,-2.92,-39.92,24.86,85,3.53,1
evensk,2125693,RU,61.95,159.23,1.2,92,1.48,2
la ronge,6050066,CA,55.1,-105.28,12.0,23,3.1,5
dunedin,2191562,NZ,-45.87,170.5,15.0,61,4.02,0
oksfjord,778362,NO,70.24,22.35,0.0,93,9.8,94
brae,2654970,GB,60.4,-1.35,2.0,80,4.1,56
grindavik,3416888,IS,63.84,-22.43,4.0,86,5.7,90
saskylakh,2017155,RU,71.92,114.08,-1.36,98,4.78,100
egvekinot,4031742,RU,66.32,-179.17,-0.23,98,4.21,78
saldanha,3361934,ZA,-33.01,17.94,9.0,81,1.0,65
bandarbeyla,64814,SO,9.49,50.81,28.11,82,5.57,82
maple creek,6065592,CA,49.92,-109.48,4.7,88,3.7,100
touros,3386213,BR,-5.2,-35.46,24.0,100,2.1,20
fereydun kenar,134602,IR,36.69,52.52,10.0,93,2.1,0
tumannyy,1000000, ,0.0,0.0,0.0,0,0.0,0
kinarut,1733449,MY,5.82,116.05,28.94,79,1.5,20
port moresby,2088122,PG,-9.44,147.18,29.16,67,6.03,75
sri aman,1735799,MY,1.24,111.46,30.0,79,1.5,40
gimli,5961417,CA,50.63,-96.99,7.38,23,2.18,19
omsukchan,2122493,RU,62.53,155.8,1.22,91,3.25,94
camocim,3403687,BR,-2.9,-40.84,24.99,86,3.75,30
brumado,3468893,BR,-14.2,-41.67,20.03,90,1.7,45
cap malheureux,934649,MU,-19.98,57.61,20.56,74,1.34,16
labrea,3663684,BR,-7.26,-64.8,24.39,85,0.75,7
sibolga,1213855,ID,1.74,98.78,30.61,58,1.04,99
samarai,2132606,PG,-10.62,150.67,27.1,72,2.87,32
boa vista,3664980,BR,2.82,-60.67,28.0,69,1.0,40
nassau,5128316,US,40.75,-73.58,11.06,27,2.6,90
kande,2366168,TG,9.96,1.04,26.86,61,1.81,70
somerset,5104759,US,40.57,-74.55,10.91,32,2.6,75
las vegas,5506956,US,36.17,-115.14,24.23,21,14.9,1
abu samrah,172515,SY,35.3,37.18,19.56,32,3.05,0
kahului,5847411,US,20.89,-156.47,24.07,65,10.3,40
waw,363885,SS,7.7,28.0,24.33,76,1.52,40
dahuk,96994,IQ,36.87,42.99,16.44,51,1.82,0
kaduna,2335727,NG,10.52,7.44,24.86,73,2.76,0
corrales,5463237,US,35.24,-106.61,22.31,19,5.7,40
samusu,1000000, ,0.0,0.0,0.0,0,0.0,0
balkhash,1525798,KZ,46.84,74.98,21.36,48,1.48,0
rairangpur,1265830,IN,22.27,86.18,35.38,27,4.19,0
mandalgovi,2030065,MN,45.76,106.27,20.45,24,3.21,62
kidal,2455290,ML,18.44,1.41,30.99,26,2.98,100
ukholovo,479426,RU,53.79,40.49,5.56,66,3.13,100
tagusao,1684245,PH,9.19,117.81,31.08,63,2.56,25
sivas,300617,TR,39.79,37.0,11.89,64,2.21,8
boke,2422924,GN,10.94,-14.3,24.27,89,0.94,2
neuquen,3843123,AR,-38.95,-68.06,12.0,50,3.6,0
sao filipe,3374210,CV,14.9,-24.5,22.55,78,4.85,15
rehoboth,3353540,NA,-23.32,17.08,11.78,44,1.44,18
ngukurr,1000000, ,0.0,0.0,0.0,0,0.0,0
alice springs,2077895,AU,-23.7,133.88,19.0,20,5.7,0
ayagoz,1525988,KZ,47.97,80.44,22.44,41,3.64,4
barcelos,2742416,PT,41.54,-8.62,13.36,87,4.6,20
beboto,2435837,TD,8.27,16.94,23.85,83,1.7,73
port hardy,6111862,CA,50.7,-127.42,15.0,77,3.6,75
okandja,1000000, ,0.0,0.0,0.0,0,0.0,0
byron bay,2172880,AU,-28.65,153.62,20.89,64,2.1,77
santa cruz,3904906,BO,-17.8,-63.17,22.0,94,1.0,40
portland,5746545,US,45.52,-122.68,12.92,76,5.7,90
irituia,3398014,BR,-1.77,-47.44,23.15,98,1.26,96
manadhoo,1337618,MV,5.77,73.38,29.3,77,3.71,98
dingle,1714733,PH,11.0,122.67,33.42,52,2.55,46
hami,1529484,CN,42.8,93.45,27.25,13,3.79,99
ketchikan,5554428,US,55.34,-131.65,15.82,39,2.6,1
emporia,4271086,US,38.4,-96.18,8.0,100,4.1,90
kampong thum,1831125,KH,12.71,104.89,33.09,55,3.99,1
aswan,359792,EG,24.09,32.91,26.23,19,2.96,21
